ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
NESQA,US Geological Survey,Northeast Region Stream Quality Assessment,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrogen, Nitrate, Ammonia, Phosphorous, pH, Water Temperature","Assess stream ecology and habitat; concentrations of contaminants, nutrients, and suspended sediment in water and streambed sediment; toxicity of water and streambed sediment; surrounding land use",,"Bronx River, Sawmill River, Hutchinson River, Mamaroneck River - 20 sites","Initiated 2016, ongoing",9 consecutive weeks of discrete samples,https://webapps.usgs.gov/RSQA/#!/region/NESQA; https://aquatic.biodata.usgs.gov/,gs-w_nawqa_whq@usgs.gov
USGSTides,US Geological Survey,Current Conditions NY: Estuaries,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrate, pH, Water Temperature, Chlorophyll a, Turbidity, Salinity","Provide data for sea-level and climate changes, TMDL development, and sediment flux",,"Long Island Sound, Hempstead Bay, Jamaica Bay (Rockaway Inlet) - 23 sites","Initiated 1997, ongoing",Continuous,https://waterdata.usgs.gov/ny/nwis/current/?type=tidal&group_key=basin_cd,"Ronald Busciolano, 631-736-0783 x104, rjbuscio@usgs.gov"
USGSCond,US Geological Survey,USGS Current Water Data for NY/NJ,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrate, Water Temperature, pH, Turbidity, Chlorophyll a",Part of the national water information system,,New York/New Jersey,"1966, ongoing",Varies,https://waterwatch.usgs.gov/wqwatch/map?state=ny&pcode=00010; https://www.usgs.gov/centers/ny-water/science/current-water-conditions-new-york?qt-science_center_objects=0#qt-science_center_objects,"Ronald Busciolano, 631-736-0783 x104, rjbuscio@usgs.gov"
NPSncbn,National Park Services,Estuarine Nutrient Enrichment Monitoring,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Shorelines","Dissolved Oxygen, Turbidity, Water Temperature, Salinity, Chlorophyll a, Submerged Aquatic Vegetation",To determine whether nutrient loads to park estuaries are increasing over time and to assess how estuarine natural resources are affected by changing nutrient inputs,QAPP,Gateway National Recreation Area & Fire Island National Seashore,"Initiated 2003, ongoing",Varies,https://science.nature.nps.gov/im/units/ncbn/monitor/estuaries.cfm,"Sara Stevens, 401-874-4548, sara_stevens@nps.gov; Dennis Skids, 401-874-4305, dennis_skids@nps.gov"
DECeel,"NY State Dept. of Environmental Conservation, Sarah Lawrence College",Community Science American Eel Research,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Riparian","Dissolved Oxygen, pH, Turbidity, Tributary Habitat Connectivity",,,"Hudson River & State Island/Bronx, NY","2008-2017, ongoing",Annually,https://www.dec.ny.gov/lands/49580.html,"Chris Bowser, christopher.bowser@dec.ny.gov"
DECribs,NY State Dept. of Environmental Conservation,Rotating Integrated Basin Studies - Screening,"Water Quality, Habitat and Ecological Health, Port and Maritime","Dissolved Oxygen, Nutrients, In Situ Parameters, Toxics, Marine","Dissolved Oxygen, Ammonia, Nitrate, Phosphorous, Water Temperature, pH, Turbidity, Metals in Sediment, Benthic Index of Biotic Integrity",To assess water quality of all waters of the state; identify long-term water quality trends; characterize naturally occurring or background conditions; and establish baseline conditions for site-specific restoration and protection activities,QAPP,Varies,"2017, ongoing","Each basin every five years, 3-4 basins per year",https://www.dec.ny.gov/chemical/30951.html,"Alexander Smith, DOWinformation@dec.ny.gov"
MERI,Meadowlands Environmental Research Institute,Water Quality Monitoring,"Water Quality, Port and Maritime","Pathogens, Nutrients, In Situ Parameters, Toxics","Fecal Coliform, Nitrite, Ammonia, Phosphorous, Turbidity, Metals in Sediment, PCBs","Water quality, identify any large-scale, long-term trends, and detect any acute water quality problems",,"Hackensack River, Over peck Creek, Croakily Creek, Berry's Creek Canal - 14 sites","Initiated 1993, ongoing",4x annually,http://meri.njmeadowlands.gov/; Historical Data Download - http://data.vistadatavision.com/vdv.php/historical,"Francisco Artigas, 201-460-2801, Francisco.Artigas@rutgers.edu; Cheryl Yao, cheryl.yao@rutgers.edu"
DECribs,NY State Dept. of Environmental Conservation,Rotating Integrated Basin Studies - Routine,"Water Quality, Port and Maritime","Dissolved Oxygen, Nutrients, In Situ Parameters, Toxics","Dissolved Oxygen, Nitrate, Ammonia, Phosphorous, Water Temperature, pH, Chlorophyll a, Metals in Sediment","Determination of the overall quality of waters, trends, and identification of water quality problems and issues",QAPP,"~2 per major drainage basin- 40 sites, chosen to be generally representative of the flowing waters in that basin and co-located to USGS stream gages","2017, ongoing",4x per year,http://www.dec.ny.gov/chemical/30951.html,"Alexander Smith, DOWinformation@dec.ny.gov"
DECrapid,NY State Dept. of Environmental Conservation,Rapid Biological Assessment Surveys (RAS),"Water Quality, Port and Maritime","Dissolved Oxygen, Nutrients, In Situ Parameters, Toxics","Dissolved Oxygen, Nitrate, Ammonia, Phosphorous, Water Temperature, pH, Chlorophyll a, Metals in Sediment",Used in making water quality assessments for an entire or specific portion of a waterbody,QAPP,"Varies - 27 sites, sub-watershed focused",~2-3 studies per year,Varies,,"Alexander Smith, DOWinformation@dec.ny.gov"
EPAncca,US Environmental Protection Agency,National Coastal Condition Assessment (NCCA),"Water Quality, Port and Maritime","Dissolved Oxygen, In Situ Parameters, Toxics","Dissolved Oxygen, Nitrogen, Phosphorous, Chlorophyll a, Salinity, Transparency (secchi), PCBs, Dioxin in Sediment, PAHs in Sediment","Addresses - percentage of the Nationís coastal waters condition; key indicators of water quality, ecological health, and recreation; relative importance of key stressors",QAPP,Nationwide -  12 sites in Harbor Estuary (2019 field season),"Initiated 2010, ongoing",Every 5 years,https://www.epa.gov/national-aquatic-resource-surveys/ncca; https://www.epa.gov/national-aquatic-resource-surveys/data-national-aquatic-resource-surveys,"Linda Harwell, Harwell.Linda@epa.gov"
EPAremap,US Environmental Protection Agency,Regional Environmental Monitoring and Assessment Program (REMAP),"Water Quality, Port and Maritime","Dissolved Oxygen, In Situ Parameters, Toxics","Dissolved Oxygen, pH, Water Temperature, Salinity, Transparency (secchi), Benthic Index of Biotic Integrity, Metals in Sediment",Baseline sediment assessment and trend analysis,QAPP,"Upper Harbor, Newark Bay, Lower Harbor, Jamaica Bay - 28 probabilistically selected stations in each","1993/4, 1998, 2003, 2005, 2013",July-Sept,https://archive.epa.gov/emap/archive-emap/web/html/data.html; STORET/WQX,"Darvene A. Adams, Adams.Darvene@epa.gov"
USGSHist,US Geological Survey,Water Quality Samples for NY,"Water Quality, Port and Maritime","Dissolved Oxygen, Nutrients, In Situ Parameters, Toxics","Dissolved Oxygen, Nitrogen, Nitrate, Ammonia, Phosphorous, Water Temperature, Turbidity, Salinity, Chlorophyll a, Metals in Sediment, PCBs",Historical water quality data,,New York/New Jersey,1932-present,Varies,https://nwis.waterdata.usgs.gov/ny/nwis/qwdata,"Ronald Busciolano, 631-736-0783 x104, rjbuscio@usgs.gov"
